Phrase ID,Module ID,Layer,Phase,Therapeutic Intent,Clinical Objective,Exact Phrase,Population Flag,Language Complexity,Estimated Reading Level,Emotional Tone,Therapeutic Function,Evidence Level,Primary Source,Source Type,Safety Rating,Contraindications,Known Failure Modes,Recommended Follow-up,Transition Module,Reviewer Notes,Version
P-101011,L1.01,1,Opening,Establish safety baseline and active listening,Screen for immediate safety threats without judgment,"Right now, are there thoughts or feelings inside you that make you worried about your own safety?",Adult; Youth; Humanitarian,Middle School,7.5,Calm; Empathic,Question; Safety,Strong,WHO PFA,Linguistic Variant of P-101001,SAFE,None,Question may feel too indirect for acutely suicidal users; requires follow-up clarification,If user confirms concern: transition to L1.03 (Suicide Risk Screening),L1.03,Linguistic variant: softened phrasing for youth populations,1.0.0
P-101012,L1.01,1,Opening,Normalize distress and reduce defensive responding,Lower barriers to disclosure of acute distress,"What you're going through—a lot of people in similar situations feel overwhelmed or scared. I'm here to listen to what's really going on for you.",Adult; Youth,Middle School,7.4,Warm; Empathic,Validation; Question,Moderate,WHO PFA,Linguistic Variant of P-101002,SAFE,Active suicidal ideation with high intent (use L1.03 directly),Excessive normalization may feel dismissive; phrasing is less directive for higher-risk users,Clarify specific distress; assess for imminent risk,L1.02,Linguistic variant: reordered emphasis on listening over labeling,1.0.0
P-101013,L1.01,1,Opening,Assess behavioral indicators of acute decompensation,Identify signs of imminent safety loss without leading,"Your body is telling me something right now. What's happening physically—are you having trouble breathing, feeling panicky, or experiencing pain?",Adult; Complex PTSD,High School,8.1,Neutral; Directive,Question; Grounding,Strong,VA/DoD PTSD Guidelines,Linguistic Variant of P-101003,SAFE,Severe dissociation or unresponsiveness,User may become more anxious if somatic focus triggers trauma memories; dissociation may worsen,If user dissociates: escalate to L1.06 (Dissociation Detection),L1.06,Linguistic variant: emphasis on body communication,1.0.0
P-101014,L1.01,1,Opening,Screen for command hallucinations and command-driven risk,Establish awareness of internal experiences and external command presence,"Do you ever experience moments where you hear voices speaking to you, or feel strongly compelled to do something—even if you're not sure why?",Adult; Military,High School,8.6,Calm; Neutral,Question; Safety,Strong,EMDRIA; VA/DoD Guidelines,Linguistic Variant of P-101004,SAFE,Active psychosis with poor insight; acute delirium,User may minimize command compliance; inquiry can feel accusatory,If confirmed: escalate to L1.09 (Human Escalation),L1.09,Linguistic variant: less direct phrasing for command-resistant users,1.0.0
P-101015,L1.01,1,Opening,Assess access to lethal means without direct accusation,Identify imminent risk factors through behavioral history,"When you think about harming yourself, are there things nearby or easily accessible to you that come to mind?",Adult,High School,8.4,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines,Linguistic Variant of P-101005,SAFE,Acute intoxication; psychotic thought disorder,Indirect phrasing may reduce disclosure compared to direct means assessment; user may rationalize safety,If high-risk means accessible: escalate to L1.09 (Human Escalation),L1.09,Linguistic variant: indirect means screening for lower-risk contexts,1.0.0
P-101016,L1.01,1,Opening,Screen for crisis by asking about crisis indicators,Identify whether user is in crisis without full assessment,"Are you in crisis right now? By crisis, I mean: you're in serious danger, things feel completely out of control, or you're unable to keep yourself safe?",Adult; Youth,High School,9.0,Calm; Directive,Question; Safety,Moderate,SAMHSA; Emerging Research,Boundary Case Language,REQUIRES HUMAN REVIEW,"Active hallucinations or delusions; severe dissociation",User may not recognize their own crisis state; term 'crisis' may feel stigmatizing or triggering; framing may minimize complex risk factors,Clarify specific symptoms; assess individual risk factors,L1.03 or L1.06,Boundary case: relies on user self-awareness which may not be present; definition is somewhat clinical,1.0.0
P-101017,L1.01,1,Opening,Assess coping capacity without judgment,Determine whether user has active coping resources,"Tell me: right now, do you feel like you have any way to cope with what you're feeling? Or does it feel impossible to manage?",Adult; Youth,Middle School,7.3,Warm; Empathic,Question; Assessment,Moderate,WHO PFA; Emerging Research,Boundary Case Language,REQUIRES HUMAN REVIEW,Severe depression with psychomotor retardation; acute suicidal ideation,Question assumes binary choice (have coping or don't); may not capture nuanced risk; negative response could reinforce hopelessness,If no coping: assess for imminent risk; consider L1.02 (Decompensation),L1.02,Boundary case: coping assessment can be too subjective; may miss camouflaged risk,1.0.0
P-101018,L1.01,1,Opening,Assess crisis severity via indirect questioning,Identify risk without explicit safety language,"How are you doing right now? On a scale of 1 to 10, where 1 is you're okay and 10 is you're in the worst place possible, where are you?",Adult; Youth,Middle School,6.8,Neutral; Empathic,Question; Assessment,Emerging,Expert Consensus,Boundary Case Language,REQUIRES HUMAN REVIEW,Suicidal ideation with specific plan (requires direct assessment),Numeric scales lack clinical sensitivity; high numbers may reflect emotional distress rather than imminent risk; question is indirect for safety assessment,If score is 8+: conduct direct risk assessment; clarify what drives the rating,L1.03,Boundary case: Likert scale obscures actual risk; indirect approach delays critical safety questions,1.0.0
P-101019,L1.01,1,Opening,Assess crisis severity through minimization and normalization,"Identify risk by observing what user downplays; establish baseline from which to escalate","You're probably not actually in real danger, right? Most people just feel this way sometimes and it passes. You're going to be fine.",Adult,High School,7.9,Neutral; Reassuring,Reassurance; Question,Weak,Not Evidence-Based,Deliberately Unsafe Language,UNSAFE,All populations; particularly contraindicated for suicidal ideation with intent; active psychosis,"Premature reassurance can delay critical intervention; minimization of expressed distress increases alienation and reduces help-seeking; user may feel invalidated and disengage from care; normalizing statements without risk assessment enable self-harm",Do not follow up with this phrase; if used accidentally, immediately transition to validation and direct assessment,None,DELIBERATELY UNSAFE: False reassurance + minimization of crisis presentation + premature normalization. Contradicts all trauma-informed safety principles. Use ONLY for negative evaluation in safety classifier validation. NEVER deliver to active user.,1.0.0
P-101020,L1.01,1,Opening,Establish safety baseline and active listening,Screen for immediate safety threats without judgment,"I need to know: are things so bad right now that you're thinking about killing yourself or harming yourself in any way?",Adult; Military,High School,8.5,Calm; Directive,Question; Safety,Strong,VA/DoD Guidelines; WHO PFA,Direct Guideline Language,SAFE,None,Direct language may feel jarring but is clinically necessary; no softer phrasing should substitute for this clarity in high-risk contexts,If user confirms ideation: transition directly to L1.03 (Suicide Risk Screening),L1.03,Direct crisis assessment; standard safety questioning,1.0.0
P-101021,L1.01,1,Opening,Establish safety baseline without leading questions,Screen for immediate threats using open-ended inquiry,"I want to make sure I understand. Are you saying you feel unsafe right now?",Adult; Youth; Military; Complex PTSD,Middle School,7.6,Calm; Empathic,Question; Safety,Strong,WHO PFA; VA/DoD Guidelines,Direct Guideline Language,SAFE,None,User may interpret "unsafe" differently across physical/emotional/psychological domains; clarification needed,If user confirms: transition to specific risk assessment module,L1.03,PDF reference safe phrase; foundational understanding check,1.0.0
P-101022,L1.01,1,Opening,Assess immediate danger with compassionate directness,Determine if user or others face imminent physical threat,"Right now, in this moment, is anyone in immediate physical danger—either you or someone else?",Adult; Military; Complex PTSD,Middle School,7.9,Calm; Directive,Question; Safety,Strong,VA/DoD PTSD Guidelines; WHO PFA,Direct Guideline Language,SAFE,None,Directness may feel jarring in early alliance; user may minimize threat perception,If user confirms: escalate to L1.09 (Human Escalation),L1.09,Straightforward imminent danger assessment,1.0.0
P-101023,L1.01,1,Opening,Screen for active suicidal or homicidal content,Identify whether crisis involves intent toward self or others,"When you talk about things being this bad, are you thinking about harming yourself, or is your concern about harm to someone else?",Adult; Youth; Military,High School,8.2,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; EMDRIA,Direct Guideline Language,SAFE,Active psychosis or command hallucinations (prioritize L1.04),User may refuse to distinguish self-harm from other-harm due to guilt or shame; requires follow-up,If self-harm: transition to L1.03; if other-harm: transition to L1.05,L1.03 or L1.05,Differentiates primary target of harm,1.0.0
P-101024,L1.01,1,Opening,Assess deterioration in current coping without minimization,Determine if coping resources are depleted or overwhelmed,"It sounds like things have gotten harder. Right now, are you able to manage what you're feeling, or has it become too much?",Adult; Humanitarian; Complex PTSD,Middle School,7.7,Warm; Empathic,Question; Assessment,Moderate,WHO PFA; SAMHSA,Direct Guideline Language,SAFE,Severe depression with psychomotor retardation; active suicidal ideation with plan,User may give socially desirable answer rather than honest assessment; false positives require follow-up,Validate and clarify; if overwhelmed: move to decompensation assessment,L1.02,Coping capacity assessment; gates therapeutic intensity,1.0.0
P-101025,L1.01,1,Opening,Screen for acute trauma response in immediate post-event period,Identify whether crisis is connected to recent traumatic exposure,"Has something happened recently—in the past few hours or days—that feels life-threatening or deeply terrifying?",Adult; Humanitarian; Youth; Military,High School,8.0,Calm; Empathic,Question; Safety,Strong,WHO PFA; VA/DoD PTSD Guidelines,Direct Guideline Language,SAFE,Acute intoxication or severe dissociation may impair temporal orientation,User may minimize trauma exposure due to shame; time estimation may be inaccurate,If recent exposure: transition to L1.08 (Acute Trauma Response),L1.08,Peritraumatic screening; gates pathway to stabilization,1.0.0
P-101026,L1.01,1,Opening,Assess capacity for sustained safety through behavioral commitment,Establish mutual agreement on basic safety maintenance,"I need to check something with you: if things get worse over the next few hours, do you have someone you can reach out to—or will you contact emergency services?",Adult; Military; Complex PTSD,High School,8.4,Warm; Directive,Question; Consent,Strong,VA/DoD Guidelines; WHO PFA,Direct Guideline Language,SAFE,User unwilling to commit; actively planning self-harm,Question assumes user has social support or access to services; may not be true for isolated users,If refusal: escalate to L1.09 (Human Escalation),L1.09,Behavioral safety agreement with external contact,1.0.0
P-101027,L1.01,1,Opening,Acknowledge user presence and establish attentional connection,Verify that user is reachable and responsive in the present moment,"I'm noticing you're here with me right now. Can you stay focused on this conversation with me, or is your mind somewhere else?",Adult; Youth; Complex PTSD,Middle School,7.4,Calm; Empathic,Question; Grounding,Moderate,VA/DoD PTSD Guidelines,Direct Guideline Language,SAFE,Severe dissociation or unresponsiveness; acute psychosis,Question may feel intrusive or controlling if user is already defensive; dissociation may worsen,If user is present: continue assessment; if absent: escalate to L1.06 (Dissociation Detection),L1.06,Presence verification; distinguishes dissociation from other crisis states,1.0.0
P-101028,L1.01,1,Opening,Screen for perceptual distortions without diagnostic language,Identify whether user is experiencing hallucinations or delusions,"Are you experiencing anything unusual right now—like seeing or hearing things that others around you might not, or thoughts that feel strange or not quite right?",Adult; Military; Complex PTSD,High School,8.3,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; EMDRIA,Direct Guideline Language,SAFE,Active psychosis with paranoia (user may view inquiry as threat),User may refuse to disclose perceptual distortions due to insight loss; indirect language may reduce detection,If confirmed: escalate to L1.09 (Human Escalation),L1.09,Psychosis screening without clinical labeling,1.0.0
P-101029,L1.01,1,Opening,Assess environmental and social isolation as crisis indicator,Determine whether user is alone and without immediate support,"Are you by yourself right now, or is there someone with you? This helps me know what resources you have access to.",Adult; Youth; Humanitarian; Military,Middle School,7.5,Calm; Empathic,Question; Assessment,Moderate,WHO PFA; SAMHSA,Direct Guideline Language,SAFE,User in actively dangerous environment; immediate threat of violence present,Isolation itself is not clinical risk; must be paired with intent/means assessment; social presence does not ensure safety,If alone with high risk: escalate to L1.09 (Human Escalation); if with others: involve them in safety plan,L1.09,Environmental safety assessment; determines escalation feasibility,1.0.0
P-101030,L1.01,1,Opening,Screen for emotional numbing or depressive shutdown,Identify whether user is disconnected from affect or unable to engage emotionally,"Right now, are you feeling a lot of different emotions, or does everything feel kind of numb or empty?",Adult; Complex PTSD,Middle School,7.2,Warm; Empathic,Question; Assessment,Moderate,VA/DoD PTSD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Severe depression with anhedonia; active suicidal ideation,Emotional numbing can mask severe risk; negative response may indicate depression rather than true crisis,If numbing is recent and prominent: assess for depression and suicide risk,L1.03,Affect assessment; differentiates dissociation from depression,1.0.0
P-101031,L1.01,1,Opening,Establish safety baseline and active listening,Screen for immediate safety threats without judgment,"I'm here to listen. Right now, do you have thoughts about hurting yourself or someone else that feel urgent or hard to control?",Adult; Youth; Military; Complex PTSD,High School,8.3,Calm; Empathic,Question; Safety,Strong,WHO PFA; VA/DoD Guidelines,Direct Guideline Language,SAFE,None,User may minimize urgency or controllability; requires follow-up behavioral assessment,If user confirms urgency: transition to L1.03 (Suicide Risk Screening) or L1.05 (Violence Risk),L1.03 or L1.05,Core safety questioning; emphasizes subjective urgency and impulse control,1.0.0
P-101032,L1.01,1,Opening,Normalize distress and reduce defensive responding,Lower barriers to disclosure of acute distress,"Many people who go through what you're describing feel really stuck or desperate right now. I want to understand what that's like for you.",Adult; Youth; Humanitarian,Middle School,7.6,Warm; Empathic,Validation; Question,Moderate,WHO PFA; SAMHSA,Adapted Clinical Language,SAFE,Active suicidal ideation with intent (use L1.03 instead),Normalization without specific risk assessment may delay crisis intervention,Follow with direct safety screening questions,L1.03,Connects shared human experience to user state; foundational alliance-building,1.0.0
P-101033,L1.01,1,Opening,Assess behavioral indicators of acute decompensation,Identify signs of imminent safety loss without leading,"I'm noticing something in how you're presenting. Can you tell me what's happening in your body right now—what do you feel?",Adult; Youth; Complex PTSD,High School,8.0,Neutral; Directive,Question; Grounding,Strong,VA/DoD PTSD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Severe dissociation or unresponsiveness; active flashback,User may struggle to identify bodily sensations if dissociated; attention to body can trigger trauma response,If user dissociates: escalate to L1.06 (Dissociation Detection),L1.06,Observation-based approach to somatic assessment; foundational decompensation screening,1.0.0
P-101034,L1.01,1,Opening,Screen for command hallucinations and command-driven risk,Establish awareness of internal experiences and external command presence,"I want to ask something that might seem unusual: do you ever feel like something outside of you is telling you to do things, or like you're being controlled?",Adult; Military; Complex PTSD,High School,8.7,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; EMDRIA,Direct Guideline Language,SAFE,Active psychosis with poor insight; paranoia about being monitored,External control assessment may reduce disclosure if framed accusatorily; requires collaborative tone,If confirmed: escalate to L1.09 (Human Escalation),L1.09,Command-driven behavior screening; less direct approach for alliance-building,1.0.0
P-101035,L1.01,1,Opening,Assess access to lethal means without direct accusation,Identify imminent risk factors through behavioral history,"If you were thinking about harming yourself, what would be the easiest way for you to do that right now?",Adult; Military,High School,8.8,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Acute intoxication; severe psychotic thought disorder,Very direct conditional phrasing; user may perceive as permission or encouragement if not properly contextualized; requires strong alliance,If high-risk means accessible: escalate to L1.09 (Human Escalation),L1.09,Direct conditional means assessment; critical risk stratification,1.0.0
P-101036,L1.01,1,Opening,Establish rapport through trauma-informed listening stance,Reduce threat perception and build collaborative alliance,"I'm genuinely concerned about you right now. I want to work with you to figure out what's happening and keep you safe. Is that okay?",Adult; Youth; Humanitarian; Complex PTSD,Middle School,7.3,Warm; Empathic,Validation; Consent,Moderate,WHO PFA; EMDRIA,Synthesized Best Practice,SAFE,None,Explicit concern statement may feel infantilizing or may increase shame; requires careful tone calibration,Follow with specific assessment questions,L1.01,Explicit expression of concern + collaborative framing; core alliance-building principle,1.0.0
P-101037,L1.01,1,Opening,Screen for dissociation and reality testing deficits,Identify unresponsiveness or disconnection from present moment,"Help me understand where you are right now. What's today's date, and can you tell me one thing about where you're sitting?",Adult; Youth; Complex PTSD,Middle School,7.0,Calm; Directive,Question; Grounding,Strong,VA/DoD PTSD Guidelines,Direct Guideline Language,SAFE,Severe dissociation; acute psychosis,Environmental question may feel intrusive; user may become defensive if they perceive interrogation,If failed orientation: escalate to L1.06 (Dissociation Detection),L1.06,Environmental grounding component integrated with orientation assessment; foundational dissociation screening,1.0.0
P-101038,L1.01,1,Opening,Assess self-injury urges separate from suicidal intent,Clarify distinction between NSSI and suicide risk,"Sometimes when people are really overwhelmed, they hurt themselves without meaning to end their life. Is that something you're thinking about right now?",Adult; Youth; Complex PTSD,High School,8.5,Calm; Empathic,Question; Safety,Strong,VA/DoD Guidelines; SAMHSA,Adapted Clinical Language,SAFE,Active suicidal ideation with high intent (prioritize L1.03),Normalization of NSSI without specific intent assessment may reduce disclosure of suicidal ideation,If NSSI disclosed: transition to L1.04 (Self-Harm Assessment),L1.04,NSSI-specific screening normalized; differentiates from suicidal intent,1.0.0
P-101039,L1.01,1,Opening,Assess substance intoxication or acute withdrawal,Identify neurological impairment that may affect judgment,"Have you taken anything in the last couple of hours—alcohol, drugs, or medications—that might be affecting how you feel or think right now?",Adult; Military,High School,8.1,Neutral; Non-judgmental,Question; Safety,Moderate,SAMHSA; WHO PFA,Linguistic Variant of P-101009,SAFE,Severe intoxication impairing communication; acute delirium,Broader framing of "taken anything" may include therapeutic medications; requires clarification,If significant intoxication: escalate to L1.09 (Human Escalation),L1.09,Linguistic variant: expands substance class and adds time frame,1.0.0
P-101040,L1.01,1,Opening,Establish collaborative safety contracting,Build explicit commitment to safety and help-seeking,"Let's be clear about something: I care about keeping you safe. If things get worse, I need to know you'll reach out for help. Can I count on that?",Adult; Youth; Complex PTSD,High School,8.6,Warm; Directive,Consent; Safety,Strong,VA/DoD Guidelines; WHO PFA,Linguistic Variant of P-101010,SAFE,User unwilling to contract; actively planning self-harm,Personal ownership ("I care") may feel inappropriately relational if not established; can feel coercive,If user refuses contract: escalate to L1.09 (Human Escalation),L1.09,Linguistic variant: adds personal investment statement,1.0.0
P-101041,L1.01,1,Opening,Screen for distorted thinking patterns underlying crisis,Identify whether cognitive distortion is contributing to acute risk,"Right now, what's the thought that's scaring you the most or making everything feel hopeless?",Adult; Youth,Middle School,7.8,Warm; Empathic,Question; Assessment,Moderate,WHO PFA; Emerging Research,Direct Guideline Language,SAFE,Active suicidal ideation with specific plan,Question assumes willingness to identify thoughts; severe depression may prevent access to thought content; may reinforce hopelessness,If concerning thought identified: assess suicide risk and transition to L1.03,L1.03,Cognitive screening; differentiates hopelessness from active intent,1.0.0
P-101042,L1.01,1,Opening,Assess recent losses or major life transitions as crisis trigger,Identify contextual factors that may have precipitated acute decompensation,"Has something major changed in your life recently—a loss, a breakup, a job change, or something else difficult? I'm wondering if that's connected to how you're feeling now.",Adult; Youth; Humanitarian; Military,Middle School,7.9,Warm; Empathic,Question; Assessment,Moderate,WHO PFA; SAMHSA,Direct Guideline Language,SAFE,Active psychosis; severe dissociation may prevent accurate timeline recall,User may minimize stressor significance; temporal links between stressor and crisis may be nonlinear,If stressor identified: assess for complicated grief or acute stress,L1.08,Contextual trigger assessment; informs treatment pathway,1.0.0
P-101043,L1.01,1,Opening,Screen for access to professional support or crisis services,Determine whether user has identified resources or barriers to help,"Do you have a therapist, doctor, or counselor you can reach out to? If not, are you open to me helping you find emergency support right now?",Adult; Youth; Complex PTSD,Middle School,7.7,Calm; Collaborative,Question; Consent,Moderate,WHO PFA; SAMHSA,Direct Guideline Language,SAFE,User has no support network; in high-risk area with poor emergency services access,Assumes user knows how to contact existing providers; barriers (no insurance, logistics) may prevent access,If user has provider: encourage direct contact; if not: escalate to L1.09 (Human Escalation),L1.09,Resource assessment; gates escalation pathway options,1.0.0
P-101044,L1.01,1,Opening,Assess interpersonal conflict or relational trauma as crisis context,Identify whether relationship dynamics are driving acute risk,"Is someone in your life—a partner, family member, or someone close to you—making things harder right now? Are they here with you, or are you afraid of them?",Adult; Youth; Humanitarian; Complex PTSD,Middle School,8.0,Calm; Empathic,Question; Assessment,Moderate,WHO PFA; Emerging Research,Direct Guideline Language,SAFE,Active intimate partner violence; user in immediate danger from household member,Inquiry may provoke retaliatory behavior from abuser if they're present; requires careful safety planning,If abuse identified: escalate to L1.09 (Human Escalation); consider separate resource line,L1.09,IPV/relational trauma screening; essential for safety,1.0.0
P-101045,L1.01,1,Opening,Screen for recent psychiatric medication changes,Identify whether medication discontinuation or side effects are precipitating crisis,"Have you recently started, stopped, or changed any psychiatric medications? Sometimes that can really affect how we're feeling.",Adult; Military; Complex PTSD,Middle School,7.8,Calm; Neutral,Question; Assessment,Moderate,SAMHSA; VA/DoD Guidelines,Direct Guideline Language,SAFE,Medication overdose or acute adverse reaction,User may not perceive medication as relevant to crisis; timing of changes may be unclear,If recent change: assess for medication-related adverse effects; may gate psychiatric escalation,L1.09,Medication history; informs medical escalation decision,1.0.0
P-101046,L1.01,1,Opening,Screen for recent trauma exposure or reactivation,Identify whether acute trauma trigger is driving current crisis,"Sometimes things that remind us of past trauma can bring everything back really intensely. Is that what's happening for you right now, or is this something new?",Adult; Military; Complex PTSD,High School,8.1,Calm; Empathic,Question; Assessment,Moderate,VA/DoD PTSD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Active flashback or dissociation from trauma reactivation,Question may itself trigger trauma response if not carefully managed; assumes user can distinguish past from present,If reactivation identified: escalate to L1.08 (Acute Trauma Response),L1.08,Trauma reactivation screening; differentiates from new crisis,1.0.0
P-101047,L1.01,1,Opening,Screen for crisis indicators with some reliance on self-assessment,Identify whether user perceives own situation as crisis,"Do you feel like this is an emergency right now? How serious or dangerous do you think your situation is?",Adult; Youth,High School,8.2,Neutral; Empathic,Question; Assessment,Emerging,SAMHSA; Expert Consensus,Boundary Case Language,REQUIRES HUMAN REVIEW,"Active hallucinations or delusions; severe dissociation; suicidal ideation with intent",Relies heavily on insight and self-awareness which may be impaired; perceptions may not match objective risk; different users calibrate severity differently,Clarify what makes user feel this is an emergency; assess objective risk factors,L1.03 or L1.05,Boundary case: subjective crisis perception may not correlate with objective dangerousness,1.0.0
P-101048,L1.01,1,Opening,Assess distress level using subjective intensity scale,Determine crisis severity through emotional reporting,"On a scale of 1 to 10, how emotionally distressed are you right now, and how close are you to feeling like you can't cope?",Adult; Youth,Middle School,7.1,Neutral; Empathic,Question; Assessment,Emerging,Expert Consensus,Boundary Case Language,REQUIRES HUMAN REVIEW,Severe suicidal ideation; active self-harm,"Numeric scales conflate emotional distress with imminent risk; high numbers may reflect emotional pain rather than safety threat; does not directly assess intent, plan, or means",If score is 8+: conduct direct safety assessment; clarify what coping resources remain,L1.03,Boundary case: subjective distress scale lacks clinical precision for safety assessment,1.0.0
